title,startAt,eventType,targetSegment,leadAgency,location
National Preparedeness Month,2025-09-01,Campaign,National Campaign,Ready.gov,
Workforce Development Month,2025-09-01,Campaign,Statewide,,
Labor Day,2025-09-01,Holiday,Holiday,n/a,
Florida's Drowsy Driving Prevention Week (September 1 - September 5),2025-09-01,Campaign,Statewide,,
Hispanic Outreach Festival,2025-09-06,Event,Supporting,Sanford Police Department,"1201 W. 25th Place, Sanford FL, USA "
National Suicide Prevention Week (September 7 - September 13),2025-09-07,Campaign,National Campaign,NAMI,
Southwestern Middle School PE Takeover,2025-09-10,Event,Children Focused,Bike/Walk Central Florida,"Southwestern Middle School, New Hampshire Ave, DeLand, FL, USA"
Carillion Elementary Bicycle Rodeo Helmet Fitting,2025-09-13,Event,Children Focused,Seminole County Sherriff’s Office School Crossing Guard Unit,"3200 Lockwood Boulevard, Oviedo, FL, USA"
"Love Like Jace's ""Fun in the Sun""",2025-09-13,Event,Target Zero,Love Like Jace,"7000 Dr Phillips Blvd, Orlando, FL, USA"
National Truck Driver Appreciation Week (September 14 - September 20),2025-09-14,Campaign,National Campaign,ATA,
Construction Appreciation Week (September 15 - September 19),2025-09-15,Campaign,Statewide,,
Rail Safety Week (September 15 - September 19),2025-09-15,Campaign,Statewide,OLI,
National Roundabouts Week,2025-09-15,Campaign,National Campaign,,
IT Professionals Day,2025-09-16,Campaign,National Campaign,,
OCPS - Fall College & Career Fair,2025-09-20,Event,Supporting,Orange County Public Schools,"Lake Buena Vista High School, Daryl Carter Parkway, Orlando, FL, USA"
Wekiva Elementary Bicycle Rodeo Helmet Fitting,2025-09-20,Event,Children Focused,Retro City Cycles,"Wekiva Elementary School, East Wekiva Trail, Longwood, FL, USA"
Child Passenger Safety Week (September 21 - September 27),2025-09-21,Campaign,National Campaign,NHTSA,
Bike Helmet & Traffic Safety Presentation- Renaissance Charter School at Tapestry,2025-09-25,Presentation/Meeting/Training,Children Focused,Renaissance Charter School at Tapestry,"Renaissance Charter School at Tapestry K-8, West Carroll Street, Kissimmee, FL, USA"
HR Professionals Day,2025-09-26,Campaign,,,
National Seat Check Saturday,2025-09-27,Campaign,National Campaign,NHTSA,
Take a Kid Mountain Biking Day,2025-09-27,Event,Children Focused,Retro City Cycles,
Car Seat Check Saturday - (car seat safety),2025-09-27,Event,National Campaign,NHTSA,
Lake Mary PD Bicycle Rodeo,,Event,Children Focused,Lake Mary Police Department,"550 Rantoul Lane, Lake Mary, FL, USA"
X- Not on approved campaign calendar Rail Grade Crossing Campaign,,Campaign,Supporting,NHTSA,
Emergency Contact Information (ECI) Awareness Month,2025-10-01,Campaign,Statewide,FLHSMV,
NHTSA Pedestrian Safety Month,2025-10-01,Campaign,National Campaign,NHTSA,
Cybersecurity Awareness Month,2025-10-01,Campaign,,,
Community Planning Month,2025-10-01,Campaign,,,
Walk and Roll to School Day - Wekiva Elementary,2025-10-01,Event,Children Focused,Florida Freewheelers,"North Hunt Club Boulevard & West Wekiva Trail, Wekiwa Springs, FL, USA"
Walk to School Day - Sunrise Elementary,2025-10-01,Event,Children Focused,Sunrise Elementary,"Sunrise Elementary School, Lone Palm Road, Orlando, FL, USA"
US 92 Safety Outreach Kits - Tomoka Correctional Institution,2025-10-02,Event,District,FDOT D5,"3950 Tiger Bay Road, Daytona Beach, FL, USA"
National Night Out - Attending Outreach Event,2025-10-03,Event,,,
Sterling Park Elementary Bike Rodeo Helmet Fitting,2025-10-04,Event,Children Focused,Seminole County Sherriff’s Office School Crossing Guard Unit,"Sterling Park Elementary School, Eagle Circle South, Casselberry, FL, USA"
MADD Monster Mash & Dash 5K,2025-10-05,Event,Supporting,MADD Central Florida,"2850 Florida Plaza Boulevard, Kissimmee, FL, USA"
Lake Conway Woods,2025-10-07,Event,Supporting,,"Lake Conway Woods, Lake Conway Woods Boulevard, Orlando, FL, USA"
"Walk, Bike & Roll to School Day",2025-10-08,Campaign,National Campaign,,
US 92 Safety Kit Outreach - First Step Shelter,2025-10-09,Event,,,"3889 West International Speedway Boulevard, Daytona Beach, FL, USA"
Indigenous Peoples' Day/Columbus Day,2025-10-13,Holiday,Holiday,n/a,
White Cane Safety Day-Conklin Davis Center for Blind,2025-10-15,Campaign,,,
Biketoberfest October 16-19,2025-10-16,Event,Motorcycle Safety,FDOT D5,
Children's Safety Village Trunk or Treat - Orlando,2025-10-18,Event,Children Focused,Children's Safety Village,"Children's Safety Village, Fairvilla Road, Orlando, FL, USA"
Stenstrom Elementary Bike Rodeo Helmet Fitting,2025-10-18,Event,Children Focused,Seminole County Sherriff’s Office School Crossing Guard Unit,"Stenstrom Elementary School, Alafaya Woods Boulevard, Oviedo, FL, USA"
National Teen Driver Safety Week (October 19 - October 25),2025-10-19,Campaign,Supporting,NHTSA,
National School Bus Safety Week (October 20 - October 24),2025-10-20,Campaign,Supporting,NHTSA,
US 92 Safety Kit Outreach - Bridge Shelter DeLand,2025-10-22,Event,,FDOT D5,"434 S Woodland Blvd, DeLand, FL, USA"
Manatee Cove Elementary Multicultural Night,2025-10-23,Event,Supporting,Volusia County Schools,"Manatee Cove Elementary, West Ohio Avenue, Orange City, FL, USA"
"Buckle Up, Phones Down Day",2025-10-25,Campaign,,,
Halloween - Buzzed Driving is Drunk Driving (October 25 - October 31),2025-10-25,Campaign,Supporting,NHTSA,
BIKE 5 2025,2025-10-25,Event,Supporting,Bike/Walk Central Florida,"Mead Botanical Garden, South Denning Drive, Winter Park, FL, USA"
Fall Festival,2025-10-30,Event,Supporting,FDOT D5,"719 South Woodland Boulevard, DeLand, FL, USA"
Halloween,2025-10-31,Holiday,Holiday,,
Monsters on MainStreet,2025-10-31,Event,,MainStreet DeLand Association,"100 North Woodland Boulevard, DeLand, FL, USA"
