name,mondayGroupId
Alert Today/Tonight Florida (ATF) Tip Cards,new_group75300__1
Bags/Backpacks,new_group26701
Bike & Ped Accessories,new_group44133
Bookmarks,new_group47026
Brochures/Pamphlets,new_group65764
Cell Phone Accessories,new_group34129
Comic/Activity Books,new_group69254
Demonstration Items,new_group50875
Do Not Disturb Door Hangers,new_group76361
Edible Items,new_group86570
Event Furniture and Displays,topics
First Aid,new_group46218
FL Health (FH) Tip Cards,new_group17204__1
Helmets,new_group__1
Magnets,new_group72116
Miscellaneous Items,new_group67163
Other Tip Cards,new_group18096__1
Pledge Cards,new_group6482
Pledge Cards,new_group6482
Recipe Cards,new_group5836
Ride SMART (RS) Tip Cards,new_group70388__1
Safe Mobility For Life (SMFL) Tip Cards,new_group99619__1
Safe Routes 2 School (SR2S) Tip Cards,new_group99522__1
Stickers,new_group18225
Target Zero (TZ) Tip Cards,new_group69834__1
Trading Cards,duplicate_of_safety_resources
Wearable Items,group_title
