name,orderingType,sourceVendor,status,featuredImageUrl,inventoryUpdated,stock,restockTrigger,lastManualStockCheck,location,checkedOut,numUntilRestock,ytdStockUsed,updatedTime,untilRestock,mondayItemId,productCategoryId,price
"ATF- ""Your Key to Safety"" Card",Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1370648668/Your%20Key%20to%20Safety%20Card.JPEG,,66,0,2023-10-27,B,0,66,,"Pat Boatman Jul 25, 2025 9:33 PM",66,5798486971,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- A Guide To Modern Roundabouts Card,Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1587862718/A%20guide%20to%20modern%20roundabouts.jpg,,293,0,,B,,293,,"Pat Boatman Jul 25, 2025 9:33 PM",,5798487825,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- Always Stop on Red Large Card,Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1369958536/Always%20Stop%20on%20Red%20Large%20Card%205.5%20by%208.5.JPEG,,78,0,,B,0,78,,"Desmond Tatilian Jul 30, 2025 12:12 PM",78,5798487456,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- Always Stop on Red Small Card,Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1369964089/Always%20Stop%20on%20Red%20Small%20Card%204x6.JPEG,,7225,0,,B,100,7125,,"Pat Boatman Jul 25, 2025 9:33 PM",7225,5798487084,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- Bicycle Hand Signals Card,Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1384001056/AT%20Bicycle%20Hand%20Signals.jpg,,-6,0,,B,,-6,,"Pat Boatman Jul 25, 2025 9:33 PM",,6374407431,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- Can You See Me Now? Card,Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1369965405/Can%20you%20see%20me%20now%20Info%20Card.JPEG,v,290,0,2025-06-10,B,10,280,,"Pat Boatman Jul 25, 2025 9:33 PM",290,5798487442,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- Every Bicyclist and Pedestrian Large Card,Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1369968870/Every%20Bicyclist%20and%20Pedestrian%20Card.JPEG,,13,0,2024-03-14,B,50,-37,,"Pat Boatman Jul 25, 2025 9:33 PM",13,5798487163,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- How to Use an RRFB Card,Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1369973336/How%20to%20use%20an%20RRFB.JPEG,,5974,0,,B,,5974,,"Pat Boatman Jul 25, 2025 9:33 PM",,5798487106,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- How to use Ped. Hybrid Beacon Card (English),Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1369973649/How%20to%20use%20Ped.%20Hybrid%20Beacon-English.JPEG,,1033,0,2023-10-11,B,100,933,,"Pat Boatman Jul 25, 2025 9:33 PM",1033,5798486999,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- How to use Ped. Hybrid Beacon Card (Spanish),Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1369973802/How%20to%20use%20Ped.%20Hybrid%20Beacon-Spanish.JPEG,,538,0,,B,,538,,"Pat Boatman Jul 25, 2025 9:33 PM",,5798487221,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- Know Your Crosswalks Card,Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1369975303/Know%20Your%20Crosswalks.JPEG,,43,0,2024-03-14,B,,43,,"Pat Boatman Jul 25, 2025 9:33 PM",,5798487060,m17f0btrm4d3v75252xajrs7tx7r4p29,0
ATF- Look Right Tip Card (Bicycle),Order as Needed,D5 Office,,https://qcausa.monday.com/protected_static/11070499/resources/1629507016/Image%20(9).jpg,,0,0,2023-03-29,B,,0,,"Pat Boatman Jul 25, 2025 9:33 PM",,5798487058,m17f0btrm4d3v75252xajrs7tx7r4p29,0
